author_name,author_url
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
André Gide,http://goodreads.com/author/show/7617.Andr_Gide
Thomas A. Edison,http://goodreads.com/author/show/3091287.Thomas_A_Edison
Eleanor Roosevelt,http://goodreads.com/author/show/44566.Eleanor_Roosevelt
Steve Martin,http://goodreads.com/author/show/7103.Steve_Martin
